customer_id,similar_customer_id,cosine_similarity,common_products,customer_purchase_count,similar_customer_purchase_count
39ae2ab725be4a0db66896735a49dac7,eed42da7ee2f3ce26ab52758e63d855f,1.0,2,2,2
39ae2ab725be4a0db66896735a49dac7,ef3e32f1b8658891add797672f995cc5,1.0,2,2,2
39ae2ab725be4a0db66896735a49dac7,fb5e89c121d9569d1a58e0afb54da971,1.0,2,2,2
70755e5b9df5988f592f3dec6279f1be,75bbb6b481a1df1689bb769e63ec3acb,1.0,2,2,2
70755e5b9df5988f592f3dec6279f1be,78c5f76b60a3a2588635aadc70e34df7,1.0,2,2,2
70755e5b9df5988f592f3dec6279f1be,8ef9add628931053f28350c0ad4bc7f7,1.0,2,2,2
70755e5b9df5988f592f3dec6279f1be,92fc4892f11581ee802e8e2fa4296433,1.0,2,2,2
70755e5b9df5988f592f3dec6279f1be,e0ec2e3c3f6e06839e8fb986be65c7c5,1.0,2,2,2
70755e5b9df5988f592f3dec6279f1be,e5b6fb6c5e7e4adc25a5e400c0104508,1.0,2,2,2
70755e5b9df5988f592f3dec6279f1be,e89bab624ed1d8c75012bf52bacc654c,1.0,2,2,2
70755e5b9df5988f592f3dec6279f1be,ec99f30f38afadbfbae32d5883734ded,1.0,2,2,2
70755e5b9df5988f592f3dec6279f1be,ee9d97a7d28183a3d93aefb807e48524,1.0,2,2,2
70755e5b9df5988f592f3dec6279f1be,eed42da7ee2f3ce26ab52758e63d855f,1.0,2,2,2
70755e5b9df5988f592f3dec6279f1be,ef3e32f1b8658891add797672f995cc5,1.0,2,2,2
70755e5b9df5988f592f3dec6279f1be,fb5e89c121d9569d1a58e0afb54da971,1.0,2,2,2
75bbb6b481a1df1689bb769e63ec3acb,78c5f76b60a3a2588635aadc70e34df7,1.0,2,2,2
75bbb6b481a1df1689bb769e63ec3acb,8ef9add628931053f28350c0ad4bc7f7,1.0,2,2,2
75bbb6b481a1df1689bb769e63ec3acb,92fc4892f11581ee802e8e2fa4296433,1.0,2,2,2
75bbb6b481a1df1689bb769e63ec3acb,e0ec2e3c3f6e06839e8fb986be65c7c5,1.0,2,2,2
75bbb6b481a1df1689bb769e63ec3acb,e5b6fb6c5e7e4adc25a5e400c0104508,1.0,2,2,2
75bbb6b481a1df1689bb769e63ec3acb,e89bab624ed1d8c75012bf52bacc654c,1.0,2,2,2
75bbb6b481a1df1689bb769e63ec3acb,ec99f30f38afadbfbae32d5883734ded,1.0,2,2,2
75bbb6b481a1df1689bb769e63ec3acb,ee9d97a7d28183a3d93aefb807e48524,1.0,2,2,2
75bbb6b481a1df1689bb769e63ec3acb,eed42da7ee2f3ce26ab52758e63d855f,1.0,2,2,2
75bbb6b481a1df1689bb769e63ec3acb,ef3e32f1b8658891add797672f995cc5,1.0,2,2,2
75bbb6b481a1df1689bb769e63ec3acb,fb5e89c121d9569d1a58e0afb54da971,1.0,2,2,2
78c5f76b60a3a2588635aadc70e34df7,8ef9add628931053f28350c0ad4bc7f7,1.0,2,2,2
78c5f76b60a3a2588635aadc70e34df7,92fc4892f11581ee802e8e2fa4296433,1.0,2,2,2
78c5f76b60a3a2588635aadc70e34df7,e0ec2e3c3f6e06839e8fb986be65c7c5,1.0,2,2,2
78c5f76b60a3a2588635aadc70e34df7,e5b6fb6c5e7e4adc25a5e400c0104508,1.0,2,2,2
78c5f76b60a3a2588635aadc70e34df7,e89bab624ed1d8c75012bf52bacc654c,1.0,2,2,2
78c5f76b60a3a2588635aadc70e34df7,ec99f30f38afadbfbae32d5883734ded,1.0,2,2,2
78c5f76b60a3a2588635aadc70e34df7,ee9d97a7d28183a3d93aefb807e48524,1.0,2,2,2
78c5f76b60a3a2588635aadc70e34df7,eed42da7ee2f3ce26ab52758e63d855f,1.0,2,2,2
78c5f76b60a3a2588635aadc70e34df7,ef3e32f1b8658891add797672f995cc5,1.0,2,2,2
78c5f76b60a3a2588635aadc70e34df7,fb5e89c121d9569d1a58e0afb54da971,1.0,2,2,2
8ef9add628931053f28350c0ad4bc7f7,92fc4892f11581ee802e8e2fa4296433,1.0,2,2,2
8ef9add628931053f28350c0ad4bc7f7,e0ec2e3c3f6e06839e8fb986be65c7c5,1.0,2,2,2
8ef9add628931053f28350c0ad4bc7f7,e5b6fb6c5e7e4adc25a5e400c0104508,1.0,2,2,2
8ef9add628931053f28350c0ad4bc7f7,e89bab624ed1d8c75012bf52bacc654c,1.0,2,2,2
8ef9add628931053f28350c0ad4bc7f7,ec99f30f38afadbfbae32d5883734ded,1.0,2,2,2
